t,r,y,u
37.60000000,49.40000153,48.25000000,20.74294472
38.40000000,49.59999847,48.43750000,21.38264084
39.20000000,49.79999924,48.62500000,21.88848114
40.00000000,50.00000000,48.93750000,18.78141594
40.80000000,50.20000076,49.18750000,18.08780289
41.60000000,50.40000153,49.37500000,19.02580261
42.40000000,50.59999847,49.50000000,21.31733131
43.20000000,50.79999924,49.68750000,21.33337021
44.00000000,51.00000000,49.87500000,21.52610397
44.80000000,51.20000076,50.06250000,21.80601501
45.60000000,51.40000153,50.31250000,20.35128021
46.40000000,51.59999847,50.43750000,22.81492805
47.20000000,51.79999924,50.56250000,24.74534798
48.00000000,52.00000000,50.75000000,24.73222542
48.80000000,52.20000076,51.00000000,23.25465393
49.60000000,52.40000153,51.25000000,22.24444199
50.40000000,52.59999847,51.50000000,21.38886070
51.20000000,52.79999924,51.62500000,24.12089920
52.00000000,53.00000000,51.81250000,24.39434052
52.80000000,53.20000076,52.06250000,22.98251343
53.60000000,53.40000153,52.31250000,21.94336128
54.40000000,53.59999847,52.50000000,22.80171967
55.20000000,53.79999924,52.62500000,25.12769318
56.00000000,54.00000000,52.75000000,27.01050568
56.80000000,54.20000076,53.00000000,25.20490265
57.60000000,54.40000153,53.31250000,22.27056694
58.40000000,54.59999847,53.56250000,21.67380524
59.20000000,54.79999924,53.75000000,22.67621231
60.00000000,55.00000000,53.87500000,25.01821327
60.80000000,55.20000076,54.06250000,25.07871628
61.60000000,55.40000153,54.25000000,25.31338120
62.40000000,55.59999847,54.43750000,25.63409424
63.20000000,55.79999924,54.62500000,26.00316429
64.00000000,56.00000000,54.81250000,26.40440750
64.80000000,56.20000076,55.00000000,26.83084679
65.60000000,56.40000153,55.18750000,27.27954102
66.40000000,56.59999847,55.37500000,27.74914932
67.20000000,56.79999924,55.62500000,26.45571327
68.00000000,57.00000000,55.93750000,23.71812439
68.80000000,57.20000076,56.18750000,23.18292618
69.60000000,57.40000153,56.25000000,27.75579834
70.40000000,57.59999847,56.37500000,29.43817520
71.20000000,57.79999924,56.56250000,29.30726814
72.00000000,58.00000000,56.81250000,27.76778793
72.80000000,58.20000076,57.12500000,24.93610764
73.60000000,58.40000153,57.37500000,24.37198639
74.40000000,58.59999847,57.50000000,27.16040039
75.20000000,58.79999924,57.56250000,30.95643616
76.00000000,59.00000000,57.68750000,32.38574219
76.80000000,59.20000076,58.00000000,28.65934372
77.60000000,59.40000153,58.31250000,26.04238129
78.40000000,59.59999847,58.50000000,27.36516953
79.20000000,59.79999924,58.56250000,31.67374992
80.00000000,60.00000000,58.68750000,33.32279205
80.80000000,60.00000000,58.87500000,31.57793236
81.60000000,60.00000000,59.12500000,28.14695358
82.40000000,60.00000000,59.43750000,23.12203217
83.20000000,60.00000000,59.62500000,21.83594513
84.00000000,60.00000000,59.62500000,25.05005264
84.80000000,60.00000000,59.56250000,28.55434990
85.60000000,60.00000000,59.56250000,29.31581497
86.40000000,60.00000000,59.62500000,28.25870132
87.20000000,60.00000000,59.75000000,25.72215462
88.00000000,60.00000000,59.87500000,23.57804108
88.80000000,60.00000000,59.87500000,25.05485535
89.60000000,60.00000000,59.81250000,27.58579063
90.40000000,60.00000000,59.81250000,27.70137596
91.20000000,60.00000000,59.87500000,26.13882446
92.00000000,60.00000000,60.00000000,23.15711594
92.80000000,60.00000000,60.06250000,22.37707329
93.60000000,60.00000000,60.12500000,21.34298706
94.40000000,60.00000000,60.06250000,23.70975685
95.20000000,60.00000000,59.93750000,27.09345436
96.00000000,60.00000000,59.93750000,26.31946754
96.80000000,60.00000000,60.00000000,24.26124573
97.60000000,60.00000000,60.12500000,20.95275497
98.40000000,60.00000000,60.18750000,19.91834641
99.20000000,60.00000000,60.18750000,20.44441795
100.00000000,60.00000000,60.12500000,22.28208923
100.80000000,60.00000000,60.00000000,25.38175964
101.60000000,60.00000000,60.00000000,24.42890739
102.40000000,60.00000000,60.06250000,22.23688507
103.20000000,60.00000000,60.06250000,22.38086510
104.00000000,60.00000000,60.06250000,22.38549042
104.80000000,60.00000000,60.00000000,24.11383820
105.60000000,60.00000000,59.93750000,25.49741173
106.40000000,60.00000000,60.00000000,23.22332191
107.20000000,60.00000000,60.06250000,21.60575104
108.00000000,60.00000000,60.06250000,21.99603844
108.80000000,60.00000000,60.00000000,23.88974380
109.60000000,60.00000000,59.93750000,25.34421921
110.40000000,60.00000000,59.93750000,24.88400269
111.20000000,60.00000000,60.00000000,22.96031380
112.00000000,60.00000000,60.06250000,21.49298286
112.80000000,60.00000000,60.06250000,21.94768715
113.60000000,60.00000000,60.00000000,23.86901283
114.40000000,60.00000000,60.00000000,23.55185699
115.20000000,60.00000000,60.00000000,23.41587067
116.00000000,60.00000000,60.06250000,21.57409096
116.80000000,60.00000000,60.06250000,21.86824417
117.60000000,60.00000000,60.12500000,20.15378189
118.40000000,60.00000000,60.06250000,22.22883224
119.20000000,60.00000000,60.00000000,23.70397568
120.00000000,60.00000000,60.00000000,23.19551086
120.80000000,60.32258224,60.06250000,23.90307236
121.60000000,60.64516068,60.06250000,27.35387611
122.40000000,60.96774292,60.12500000,29.35132599
123.20000000,61.29032135,60.31250000,28.53730202
124.00000000,61.61290359,60.50000000,28.92320251
124.80000000,61.93548203,60.75000000,28.16352844
125.60000000,62.25806427,60.93750000,29.90349197
126.40000000,62.58064651,61.12500000,31.69770622
127.20000000,62.90322495,61.31250000,33.63860703
128.00000000,63.22580719,61.62500000,32.19895935
128.80000000,63.54838562,61.93750000,31.60088730
129.60000000,63.87096786,62.25000000,31.37290764
130.40000000,64.19355011,62.50000000,33.09633255
131.20000000,64.51612854,62.75000000,34.58175659
132.00000000,64.83870697,63.00000000,36.03152847
132.80000000,65.16129303,63.31250000,35.74894333
133.60000000,65.48387146,63.62500000,35.87362671
134.40000000,65.80644989,63.93750000,36.18216324
135.20000000,66.12903595,64.25000000,36.57880783
136.00000000,66.45161438,64.56250000,37.02239227
136.80000000,66.77419281,64.87500000,37.49531174
137.60000000,67.09677124,65.18750000,37.99002075
138.40000000,67.41935730,65.50000000,38.50333405
139.20000000,67.74193573,65.87500000,37.25032425
140.00000000,68.06451416,66.18750000,38.11650085
140.80000000,68.38710022,66.43750000,40.54310226
141.60000000,68.70967865,66.75000000,40.78061295
142.40000000,69.03225708,67.06250000,41.22967911
143.20000000,69.35483551,67.43750000,39.99517822
144.00000000,69.67742157,67.87500000,37.34846878
144.80000000,70.00000000,68.18750000,38.69898605
145.60000000,70.32257843,68.43750000,41.27426147
146.40000000,70.64516449,68.68750000,43.30006027
147.20000000,70.96774292,69.06250000,41.58960724
148.00000000,71.29032135,69.43750000,40.51117706
148.80000000,71.61289978,69.75000000,41.43930817
149.60000000,71.93548584,70.06250000,42.09609985
150.40000000,72.25806427,70.37500000,42.64566422
