t,u,y
192.00000000,37.65410995,73.18750000
192.80000000,37.65410995,73.25000000
193.60000000,37.65410995,73.25000000
194.40000000,37.65410995,73.31250000
195.20000000,37.65410995,73.31250000
196.00000000,37.65410995,73.31250000
196.80000000,37.65410995,73.31250000
197.60000000,37.65410995,73.31250000
198.40000000,37.65410995,73.25000000
199.20000000,37.65410995,73.25000000
200.00000000,37.65410995,73.18750000
200.80000000,37.65410995,73.12500000
201.60000000,37.65410995,73.18750000
202.40000000,37.65410995,73.18750000
203.20000000,37.65410995,73.25000000
204.00000000,37.65410995,73.25000000
204.80000000,37.65410995,73.31250000
205.60000000,37.65410995,73.31250000
206.40000000,37.65410995,73.37500000
207.20000000,37.65410995,73.37500000
208.00000000,37.65410995,73.43750000
208.80000000,37.65410995,73.50000000
209.60000000,37.65410995,73.50000000
210.40000000,37.65410995,73.50000000
211.20000000,37.65410995,73.56250000
212.00000000,37.65410995,73.56250000
212.80000000,37.65410995,73.50000000
213.60000000,37.65410995,73.56250000
214.40000000,37.65410995,73.56250000
215.20000000,37.65410995,73.50000000
216.00000000,37.65410995,73.50000000
216.80000000,37.65410995,73.43750000
217.60000000,37.65410995,73.43750000
218.40000000,37.65410995,73.43750000
219.20000000,37.65410995,73.43750000
220.00000000,37.65410995,73.43750000
220.80000000,37.65410995,73.43750000
221.60000000,37.65410995,73.43750000
222.40000000,37.65410995,73.37500000
223.20000000,37.65410995,73.37500000
224.00000000,37.65410995,73.37500000
224.80000000,37.65410995,73.37500000
225.60000000,37.65410995,73.37500000
226.40000000,37.65410995,73.37500000
227.20000000,37.65410995,73.31250000
228.00000000,37.65410995,73.31250000
228.80000000,37.65410995,73.31250000
229.60000000,37.65410995,73.31250000
230.40000000,37.65410995,73.25000000
231.20000000,37.65410995,73.31250000
232.00000000,37.65410995,73.31250000
232.80000000,37.65410995,73.31250000
233.60000000,37.65410995,73.37500000
234.40000000,37.65410995,73.37500000
235.20000000,37.65410995,73.37500000
236.00000000,37.65410995,73.43750000
236.80000000,37.65410995,73.43750000
237.60000000,37.65410995,73.43750000
238.40000000,37.65410995,73.50000000
239.20000000,37.65410995,73.50000000
240.00000000,37.65410995,73.56250000
240.80000000,37.65410995,73.56250000
241.60000000,37.65410995,73.50000000
242.40000000,37.65410995,73.43750000
243.20000000,37.65410995,73.43750000
244.00000000,37.65410995,73.43750000
244.80000000,37.65410995,73.43750000
245.60000000,37.65410995,73.43750000
246.40000000,37.65410995,73.37500000
247.20000000,37.65410995,73.37500000
248.00000000,37.65410995,73.43750000
248.80000000,37.65410995,73.43750000
249.60000000,37.65410995,73.43750000
250.40000000,37.65410995,73.43750000
251.20000000,37.65410995,73.50000000
252.00000000,37.65410995,73.43750000
252.80000000,37.65410995,73.43750000
253.60000000,37.65410995,73.50000000
254.40000000,37.65410995,73.50000000
255.20000000,37.65410995,73.50000000
256.00000000,37.65410995,73.50000000
256.80000000,37.65410995,73.50000000
257.60000000,37.65410995,73.50000000
258.40000000,37.65410995,73.50000000
259.20000000,37.65410995,73.56250000
260.00000000,37.65410995,73.50000000
260.80000000,37.65410995,73.50000000
261.60000000,37.65410995,73.56250000
262.40000000,37.65410995,73.56250000
263.20000000,37.65410995,73.56250000
264.00000000,37.65410995,73.56250000
264.80000000,37.65410995,73.56250000
265.60000000,37.65410995,73.56250000
266.40000000,37.65410995,73.50000000
267.20000000,37.65410995,73.43750000
268.00000000,37.65410995,73.43750000
268.80000000,37.65410995,73.37500000
269.60000000,37.65410995,73.31250000
270.40000000,37.65410995,73.31250000
271.20000000,37.65410995,73.31250000
272.00000000,37.65410995,73.31250000
272.80000000,37.65410995,73.37500000
273.60000000,37.65410995,73.37500000
274.40000000,37.65410995,73.43750000
275.20000000,37.65410995,73.50000000
276.00000000,37.65410995,73.50000000
276.80000000,37.65410995,73.56250000
277.60000000,37.65410995,73.56250000
278.40000000,37.65410995,73.56250000
279.20000000,37.65410995,73.50000000
280.00000000,37.65410995,73.56250000
280.80000000,37.65410995,73.50000000
281.60000000,37.65410995,73.56250000
282.40000000,37.65410995,73.56250000
283.20000000,37.65410995,73.62500000
284.00000000,37.65410995,73.62500000
284.80000000,37.65410995,73.68750000
285.60000000,37.65410995,73.68750000
286.40000000,37.65410995,73.68750000
287.20000000,37.65410995,73.62500000
288.00000000,37.65410995,73.68750000
288.80000000,37.65410995,73.75000000
289.60000000,37.65410995,73.81250000
290.40000000,37.65410995,73.81250000
291.20000000,37.65410995,73.81250000
292.00000000,37.65410995,73.87500000
292.80000000,37.65410995,73.87500000
293.60000000,37.65410995,73.87500000
294.40000000,37.65410995,73.93750000
295.20000000,37.65410995,73.93750000
296.00000000,37.65410995,73.93750000
296.80000000,37.65410995,73.93750000
297.60000000,37.65410995,73.93750000
298.40000000,37.65410995,73.93750000
299.20000000,37.65410995,73.93750000
300.00000000,37.65410995,73.93750000
300.80000000,37.65410995,73.93750000
301.60000000,37.65410995,73.93750000
302.40000000,37.65410995,74.00000000
303.20000000,37.65410995,73.93750000
304.00000000,37.65410995,74.00000000
304.80000000,37.65410995,74.00000000
305.60000000,37.65410995,74.00000000
306.40000000,37.65410995,74.06250000
307.20000000,37.65410995,74.06250000
308.00000000,37.65410995,74.06250000
308.80000000,37.65410995,74.12500000
309.60000000,37.65410995,74.12500000
310.40000000,37.65410995,74.12500000
311.20000000,37.65410995,74.12500000
312.00000000,37.65410995,74.18750000
312.80000000,37.65410995,74.25000000
313.60000000,37.65410995,74.18750000
314.40000000,37.65410995,74.25000000
315.20000000,37.65410995,74.31250000
316.00000000,37.65410995,74.31250000
316.80000000,37.65410995,74.31250000
317.60000000,37.65410995,74.31250000
318.40000000,37.65410995,74.31250000
319.20000000,37.65410995,74.31250000
320.00000000,37.65410995,74.25000000
320.80000000,37.65410995,74.25000000
321.60000000,37.65410995,74.18750000
322.40000000,37.65410995,74.18750000
323.20000000,37.65410995,74.12500000
324.00000000,37.65410995,74.12500000
324.80000000,37.65410995,74.06250000
325.60000000,37.65410995,74.06250000
326.40000000,37.65410995,74.00000000
327.20000000,37.65410995,74.00000000
328.00000000,37.65410995,74.00000000
328.80000000,37.65410995,74.00000000
329.60000000,37.65410995,74.00000000
330.40000000,37.65410995,74.00000000
331.20000000,37.65410995,74.00000000
332.00000000,37.65410995,74.00000000
332.80000000,37.65410995,74.06250000
333.60000000,37.65410995,74.06250000
334.40000000,37.65410995,74.12500000
335.20000000,37.65410995,74.12500000
336.00000000,37.65410995,74.12500000
